<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IMOEX,D,10/12/20,000000,3192.9500000,3258.3100000,3189.0400000,3258.3100000,103030272085
IMOEX,D,11/12/20,000000,3259.6500000,3278.2400000,3248.1100000,3276.5800000,108272682165
IMOEX,D,14/12/20,000000,3294.0600000,3314.2000000,3249.3600000,3254.8300000,124575239806
IMOEX,D,15/12/20,000000,3251.5400000,3284.8400000,3237.8700000,3248.1100000,92670649434
IMOEX,D,16/12/20,000000,3261.6100000,3275.6800000,3242.7000000,3269.9500000,94403408967
IMOEX,D,17/12/20,000000,3278.9900000,3318.3900000,3274.4500000,3282.6700000,138217821398
IMOEX,D,18/12/20,000000,3281.7500000,3283.3200000,3245.2500000,3273.7500000,125942200923
IMOEX,D,21/12/20,000000,3242.6200000,3244.4300000,3170.0300000,3186.3800000,135766405098
IMOEX,D,22/12/20,000000,3180.2000000,3249.1900000,3175.5100000,3236.4600000,98812846384
IMOEX,D,23/12/20,000000,3223.3900000,3255.4000000,3218.1900000,3252.1000000,65433520875
IMOEX,D,24/12/20,000000,3256.5500000,3264.6000000,3230.6200000,3236.8800000,50752693827
IMOEX,D,25/12/20,000000,3238.9100000,3248.6300000,3228.7400000,3246.3500000,23650894826
IMOEX,D,28/12/20,000000,3250.6400000,3267.6100000,3249.9100000,3258.9500000,52064728495
IMOEX,D,29/12/20,000000,3270.7500000,3282.2300000,3264.3300000,3274.6700000,62043587629
IMOEX,D,30/12/20,000000,3275.4400000,3294.6200000,3267.3900000,3289.0200000,67240374440
IMOEX,D,04/01/21,000000,3304.7500000,3350.8100000,3304.1700000,3350.5100000,66835524820
IMOEX,D,05/01/21,000000,3326.0600000,3365.3200000,3301.8800000,3359.1500000,71655035538
IMOEX,D,06/01/21,000000,3375.9100000,3380.6300000,3344.4300000,3371.0300000,71374633095
IMOEX,D,08/01/21,000000,3399.2300000,3474.6600000,3397.1500000,3454.8200000,131904843837
IMOEX,D,11/01/21,000000,3449.9100000,3516.9000000,3436.6600000,3482.4800000,143248254278
IMOEX,D,12/01/21,000000,3496.5900000,3520.6600000,3451.8700000,3471.6500000,104187325062
IMOEX,D,13/01/21,000000,3493.6900000,3504.5600000,3448.9400000,3470.2600000,99549335378
IMOEX,D,14/01/21,000000,3462.8700000,3507.7100000,3439.0100000,3490.8500000,108528483463
IMOEX,D,15/01/21,000000,3482.5100000,3509.2400000,3448.5400000,3450.9500000,104925360899
